index,pred_proba_cb,pred_proba_lgbm,pred_proba_xgb
0,0.039524683947599004,0.14135945257614968,0.09676650166511536
1,0.06724518854022493,0.25171405233878574,0.09917526692152023
2,0.017487209245083415,0.05558624923784012,0.02502869814634323
3,0.02670060304752925,0.2100569592575166,0.11161387711763382
4,0.020530669000131375,0.08325518920699775,0.01314885076135397
5,0.03509544301629687,0.13663298706327778,0.04724441096186638
6,0.00811147802295761,0.17727781884300745,0.11160299926996231
7,0.012562366909020965,0.06832966534402757,0.01712464913725853
8,0.03223048406339822,0.5994184922302449,0.8195499181747437
9,0.024692146191071677,0.0410176112572125,0.050897128880023956
10,0.011333461029213622,0.024692627840235636,0.021133605390787125
11,0.07310854563760899,0.12595785179033386,0.22408108413219452
12,0.27428049593137105,0.5466290016889002,0.25808775424957275
13,0.015699513066078988,0.09616104175466647,0.03925473242998123
14,0.034020033687588956,0.19717230679920675,0.10526227951049805
15,0.019571315941984604,0.06868142175159174,0.06393791735172272
16,0.028156711487720268,0.08358014452556974,0.03727375715970993
17,0.06519882412332653,0.1269901212547661,0.18197068572044373
18,0.9912312275981988,0.9918167387745421,0.9852532744407654
19,0.010737697497802434,0.009131912097634663,0.027532780542969704
20,0.058249828613551186,0.19468722974425015,0.10416679829359055
21,0.008085647345950213,0.05386411966106807,0.04728717729449272
22,0.05072240894004305,0.12248662017998453,0.1428997963666916
23,0.005981350694238372,0.008319881092574961,0.009407148696482182
24,0.015249343653315926,0.0948216257283956,0.09003745764493942
25,0.00543099558363637,0.06192077438943562,0.036477163434028625
26,0.05777568580636537,0.39153816931604557,0.22038836777210236
27,0.006771048853780514,0.020919230102053838,0.056755632162094116
28,0.9424345612163774,0.9490086014764282,0.9766124486923218
29,0.020742738839295415,0.08959043541632009,0.07109605520963669
30,0.026055224031315972,0.06243112579661991,0.025366518646478653
31,0.014193888202476374,0.031182933764542183,0.020372003316879272
32,0.019258569339080864,0.04163781368846827,0.027881311252713203
33,0.012934428493196507,0.03103899924417486,0.04872865229845047
34,0.03002000520447474,0.025561137296101776,0.053729280829429626
35,0.9415025131279335,0.9777377379666967,0.9885894060134888
36,0.04333135399528321,0.12838467763168868,0.14867296814918518
37,0.01577830812081887,0.06988734445474723,0.02372894622385502
38,0.003480674911339175,0.06955754355082916,0.04197539761662483
39,0.008622825557005184,0.0280351981329407,0.02700299210846424
40,0.04884143433995285,0.30559935319616677,0.27020370960235596
41,0.010785569945859486,0.009673746222498013,0.019159991294145584
42,0.056760448497218854,0.106530672614146,0.08425610512495041
43,0.035669495699376955,0.17675070579259675,0.05480118840932846
44,0.007679002492678232,0.051540224907848285,0.04549277201294899
45,0.3772961996315455,0.9040506319202889,0.5504165291786194
